shopID,wineID,wineName,shopName,shopAddress
200051,100051,Viticultori Associati Canicatti 2008 Scialo Red (Sicilia),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200052,100052,Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200053,100053,Cantine di Dolianova 2010 Dolia (Monica di Sardegna),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200054,100054,Château de Sours 2011 La Fleur d'Amélie (Bordeaux Blanc),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200055,100055,Corvo 2010 Rosso Red (Sicilia),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200056,100056,RustRidge 2010 Estate Bottled Chardonnay (Napa Valley),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200057,100057,Souverain 2010 Chardonnay (North Coast),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200058,100058,Tasca d'Almerita 2011 Sallier de la Tour Grillo (Sicilia),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200059,100059,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200060,100060,Mellisoni 2014 Malbec (Columbia Valley (WA)),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200061,100061,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200062,100062,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200063,100063,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200064,100064,Roland Champion NV Brut Rosé (Champagne),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200065,100065,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200066,100066,Simonnet-Febvre 2015 Chablis,Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200067,100067,Vignerons des Terres Secrètes 2015 Mâcon-Milly Lamartine,Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200068,100068,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200069,100069,Cocobon 2014 Red (California),Liquor Land,"32 E Green St, Champaign, IL 61820"
200070,100070,Collet NV Brut Rosé (Champagne),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200071,100071,Drumheller 2014 Chardonnay (Columbia Valley (WA)),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200072,100072,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200073,100073,Grifalco 2013 Daginestra (Aglianico del Vulture),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200074,100074,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200075,100075,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200076,100076,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200077,100077,Schmitt Söhne 2015 Riesling (Rheinhessen),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200078,100078,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200079,100079,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200080,100080,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200081,100081,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200082,100082,Spyro 2014 Albariño (Rías Baixas),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200083,100083,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200084,100084,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200085,100085,Napa Cellars 2014 Classic Zinfandel (Napa Valley),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200086,100086,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),Liquor Land,"32 E Green St, Champaign, IL 61820"
200087,100087,Palencia 2016 Albariño (Ancient Lakes),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200088,100088,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200089,100089,Poggio Alloro 2014 Le Mandorle Riserva (Vernaccia di San Gimignano),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200090,100090,Fattoria Sardi 2015 Rosato (Toscana),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200091,100091,Ferrari-Carano 2014 Siena Red (Sonoma County),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200092,100092,Folie à Deux 2015 Pinot Gris (Sonoma Coast),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200093,100093,Franciscan 2013 Magnificat Meritage (Napa Valley),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200094,100094,Fuchs 2015 Grüner Veltliner (Burgenland),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200095,100095,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200096,100096,Henry Fessy 2015 Juliénas,Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200097,100097,Henry Fessy 2015 Régnié,Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200098,100098,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200099,100099,Serpaia di Endrizzi 2010 Dono Riserva (Morellino di Scansano),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200100,100100,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Liquor Land,"32 E Green St, Champaign, IL 61820"
200101,100101,Ventosa 2015 Pinot Gris (Finger Lakes),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200102,100102,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200103,100103,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200104,100104,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200105,100105,Madonna Alta 2014 Nativo Red (Toscana),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200106,100106,Marchesi Antinori 2015 Villa Antinori White (Toscana),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200107,100107,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200108,100108,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200109,100109,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200110,100110,Ornellaia 2014 Le Volte Red (Toscana),Liquor Land,"32 E Green St, Champaign, IL 61820"
200111,100111,Pardon et Fils 2015 Les Quartelets (Brouilly),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200112,100112,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200113,100113,Podere Ciona 2014 Semifonte Red (Toscana),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200114,100114,Poggioventoso 2015 Poetico White (Toscana),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200115,100115,Pull 2012 BDX Red (Paso Robles),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200116,100116,Pull 2013 Chardonnay (Paso Robles),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200117,100117,R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200118,100118,Rideau 2014 Estate Syrah,Liquor Land,"32 E Green St, Champaign, IL 61820"
200119,100119,Tenuta Forconi 2013 Toscano Red (Toscana),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200120,100120,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200121,100121,Ceretto 2003 Bricco Rocche Prapó (Barolo),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200122,100122,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Liquor Land,"32 E Green St, Champaign, IL 61820"
200123,100123,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200124,100124,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200125,100125,Silverado 2006 Cabernet Sauvignon (Napa Valley),Liquor Land,"32 E Green St, Champaign, IL 61820"
200126,100126,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200127,100127,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),Liquor Land,"32 E Green St, Champaign, IL 61820"
200128,100128,Pierre Sparr 2008 Alsace One White (Alsace),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200129,100129,Kuentz-Bas 2008 Pinot Blanc (Alsace),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200130,100130,Camberley 2004 Philosophers' Stone Red (Stellenbosch),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200131,100131,Ceretto 2003 Bricco Rocche Brunate (Barolo),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200132,100132,Dopff & Irion 2008 Gentil White (Alsace),Liquor Land,"32 E Green St, Champaign, IL 61820"
200133,100133,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200134,100134,Poderi Luigi Einaudi 2003 Barolo,Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200135,100135,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Liquor Land,"32 E Green St, Champaign, IL 61820"
200136,100136,Giacomo Ascheri 2001 Sorano (Barolo),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200137,100137,Lassègue 2003 Saint-Émilion,Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200138,100138,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200139,100139,Dopff & Irion 2008 Crustacés White (Alsace),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200140,100140,Kuentz-Bas 2007 Cuvée Jerémy Sélection de Grains Nobles Pinot Gris (Alsace),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200141,100141,Poderi Colla 2005 Costa Bruna (Barbera d'Alba),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200142,100142,Giacomo Ascheri 2003 Vigna dei Pola (Barolo),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200143,100143,Banyan 2007 Riesling (Santa Lucia Highlands),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200144,100144,Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200145,100145,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200146,100146,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200147,100147,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200148,100148,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200149,100149,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200150,100150,Wrath 2013 Destruction Level Red (Monterey),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200151,100151,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200152,100152,Herdade Grande 2014 Gerações Colheita Seleccionada Branco White (Alentejano),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200153,100153,Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200154,100154,Alta Colina 2012 Old 900 Syrah (Paso Robles),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200155,100155,Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200156,100156,Big Basin 2013 Syrah (Santa Cruz Mountains),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200157,100157,Carl Graff 2014 Graacher Himmelreich Spätlese Riesling (Mosel),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200158,100158,Casa Santa Vitória 2013 Grande Reserva Tinto Red (Alentejano),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200159,100159,Castello di Gabbiano 2012 Bellezza Gran Selezione (Chianti Classico),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200160,100160,Castello Romitorio 2011 Filo di Seta (Brunello di Montalcino),Liquor Land,"32 E Green St, Champaign, IL 61820"
200161,100161,Château Vincens 2012 Malbec (Cahors),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200162,100162,Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Liquor Land,"32 E Green St, Champaign, IL 61820"
200163,100163,Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200164,100164,Collin-Bourisset 2011 Hospices Civils de Romanèche Thurins (Moulin-à-Vent),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200165,100165,Conde de Velázquez 2012 Condesa Real Premium Blend Red (Aconcagua Valley),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200166,100166,Cono Sur 2012 20 Barrels Cabernet Sauvignon (Maipo Valley),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200167,100167,Domaine Berthoumieu 2013 Charles de Batz Tannat-Cabernet (Madiran),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200168,100168,Dracaena 2013 Cabernet Franc (Paso Robles),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200169,100169,Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Liquor Land,"32 E Green St, Champaign, IL 61820"
200170,100170,Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200171,100171,Fritz Haag 2014 Brauneberger Feinherb Riesling (Mosel),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200172,100172,Fritz Haag 2014 Riesling (Mosel),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200173,100173,G7 2012 The 7th Generation Gran Reserva Estate Bottled Cabernet Sauvignon (Loncomilla Valley),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200174,100174,Le Cadeau 2014 Pinot Noir (Willamette Valley),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200175,100175,Stoneleigh 2008 Sauvignon Blanc (Marlborough),Liquor Land,"32 E Green St, Champaign, IL 61820"
200176,100176,Tenuta Peter Sölva & Söhne 2007 De Silva Sauvignon (Alto Adige),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200177,100177,TerraMater 2006 Unusual Cabernet-Shiraz-Zinfandel Red (Maipo Valley),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200178,100178,Isole e Olena 2005 Chianti Classico,Liquor Land,"32 E Green St, Champaign, IL 61820"
200179,100179,Kenwood 2005 Jack London Vineyard Syrah (Sonoma Valley),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200180,100180,La Chablisienne 2006 Les Vénérables Vieilles Vignes (Chablis),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200181,100181,Manzoni 2006 Lucia Highland Vineyard Chardonnay (Santa Lucia Highlands),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200182,100182,McIntyre Vineyards 2006 Mission Ranch Pinot Noir (Arroyo Seco),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200183,100183,Abbadia Ardenga 2003 M. Vigna (Brunello di Montalcino),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200184,100184,Alamos 2007 Torrontés (Salta),Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200185,100185,Anaba 2007 Chardonnay (Sonoma Coast),Liquor Land,"32 E Green St, Champaign, IL 61820"
200186,100186,Apaltagua 2007 Envero Gran Reserva Carmenère (Colchagua Valley),Friar Tuck Beverage,"1333 Savoy Plaza Ln, Savoy, IL 61874"
200187,100187,Harrington 2006 Wiley Vineyard Pinot Noir (Anderson Valley),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200188,100188,Abbazia Santa Anastasia 2003 Montenero Red (Sicilia),Piccadilly Liquors,"601 S 1st St #101, Champaign, IL 61820"
200189,100189,Viña Bisquertt 2007 Casa La Joya Reserve Merlot (Colchagua Valley),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
200190,100190,Emiliana 2008 Natura Chardonnay (Casablanca Valley),Liquor Land,"32 E Green St, Champaign, IL 61820"
200191,100191,Fattoria Alois 2007 Campole Red (Campania),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200192,100192,Henry's Drive Vignerons 2006 The Trial of John Montford Cabernet Sauvignon (Padthaway),Binny's Beverage Depot - Champaign,"802 W Town Center Blvd, Champaign, IL 61822"
200193,100193,Aldegheri 2003 Le Pietre Santambrogio Red (Rosso del Veronese),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200194,100194,Bertrand Ambroise 2006 St.-Romain,Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200195,100195,Campomaggio 2005 Chianti Classico,Hollywood Liquors,"512 S Neil St A, Champaign, IL 61820"
200196,100196,Carpineto 2003 Riserva (Vino Nobile di Montepulciano),Champaign Food &Liquor,"505 E University Ave, Champaign, IL 61820"
200197,100197,Cesani 2007 Pancole (Vernaccia di San Gimignano),Illini Pantry,"606 S 6th St, Champaign, IL 61820"
200198,100198,Spier 2014 21 Gables Chenin Blanc (Western Cape),Blue Star Liquor,"918 W Bradley Ave, Champaign, IL 61820"
