wineID,name,description,winary,country,points,price,variety
100059,Tres Palacios 2011 Reserve Pinot Noir (Maipo Valley),"Lightly herbal strawberry and raspberry aromas are authentic and fresh. On the palate, this is light and juicy, with snappy, lean flavors of red fruit and dry spice. The finish is dry and oaky.",Tres Palacios,Chile,85,13,Pinot Noir
100060,Mellisoni 2014 Malbec (Columbia Valley (WA)),"Aromas of cranberry, barrel spice and herb are followed by tart cranberry flavors with grainy tannins. It falls a bit flat and the variety seems hard to discern.",Mellisoni,US,86,55,Malbec
100061,Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),"Syrupy and dense, this wine is jammy in plum and vanilla, with indeterminate structure and plenty of oak. Ripe and full-bodied, it has accents of graphite and leather.",Okapi,US,86,100,Cabernet Sauvignon
100062,Podere dal Nespoli 2015 Prugneto Sangiovese (Romagna),This densely hued wine has aromas of black plum and vanilla that carry over to the simple palate along with a touch of cedar. Pliant tannins give it an easygoing nature. Drink soon.,Podere dal Nespoli,Italy,86,17,Sangiovese
100063,Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),"The aromas are brooding, with notes of barrel spice and cherry. The flavors are tart and elegant in style, with lightly gritty tannins backing them up. Best suited to the dinner table.",Ram,US,86,25,Cabernet Franc
100064,Roland Champion NV Brut Rosé (Champagne),"This fat, yeasty Champagne is comprised predominantly of Pinot Noir. It has ripe red berry fruit, light acidity and a soft, creamy aftertaste. It's ready to drink.",Roland Champion,France,86,58,Champagne Blend
100065,Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),"There are intriguing touches to the nose of this bottling, with jasmine, sea salt, wet hay, quinine and rainy sidewalk. The structure on the sip is quite delicate, with golden apple and honey flavors.",Sevtap,US,86,26,Sauvignon Blanc
100066,Simonnet-Febvre 2015 Chablis,"From the warm 2015 vintage, this is a soft and fruity wine. It's open with broad white fruit flavors, the acidity lighter than usual for Chablis, giving it a particularly ripe character. Drink now.",Simonnet-Febvre,France,86,24,Chardonnay
100067,Vignerons des Terres Secrètes 2015 Mâcon-Milly Lamartine,"This soft, rounded wine is ripe with generous pear and melon flavors. It's easy and ready to drink young for its smooth, attractively ripe character.",Vignerons des Terres Secrètes,France,86,15,Chardonnay
100068,Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),"A blend of Merlot and Cabernet Franc, this wine brings disjointed lightly volatile aromas of wood spice, vanilla and cherry. The plump cherry flavors are rounded out by woody barrel notes.",Basel Cellars,US,86,46,Bordeaux-style Red Blend
100069,Cocobon 2014 Red (California),"Very deep in color and spicy-smoky in flavor, this full-bodied wine is packed with dark-fruit flavors like blackberry and blueberry. Aromas like grilled beef and spicy flavors like cardamom and smoke give it a bold character that's hard to deny.",Cocobon,US,86,12,Red Blend
100070,Collet NV Brut Rosé (Champagne),"This cooperative, based in Aÿ, has benefited from the fine Pinot Noir in the village to produce a ripe red fruited wine. With balanced acidity and a soft aftertaste, it is ready to drink.",Collet,France,86,55,Champagne Blend
100071,Drumheller 2014 Chardonnay (Columbia Valley (WA)),"Aromas of vanilla, char and toast lead to light creamy stone fruit and canned-corn flavors. It provides appeal but the oak seems overweighted.",Drumheller,US,86,12,Chardonnay
100072,Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),"Big oak defines this robustly dense and extracted red, swimming in vanilla and cherry flavor. Full-bodied and gravelly in texture, it's a rustically pleasant wine for pizza nights and crowds.",Eco Terreno,US,86,40,Cabernet Sauvignon
100073,Grifalco 2013 Daginestra (Aglianico del Vulture),"Aromas of black-skinned fruit, leather, underbrush, game and a briny note all carry over to the lean, somewhat disjointed palate along with suggestions of licorice and raw red cherry. Grainy tannins leave a drying finish.",Grifalco,Italy,86,32,Aglianico
100074,Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),"Juicy plum, raspberry and pencil lead lead the way in this vineyard designate, a site that's 2,000 feet high. Tobacco and cedar meet a full-bodied hit of oak and puckering tannin, the wine still youthfully wrapped in its full-bodied boldness.",Hindsight,US,86,75,Cabernet Sauvignon
100075,Hindsight 2012 Estate Grown Petite Sirah (Calistoga),This is the producer's first release of this wine. Fruity aromas of plum and tart cranberry add to its overall sense of lightness and understatement.,Hindsight,US,86,55,Petite Sirah
100076,Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),"This is made from equal parts Cabernet Franc and Merlot, with small additions of Malbec. Juicy, it reveals a raisiny quality of ripeness around integrated oak and generous tannin.",Mulvane Wine Co.,US,86,75,Bordeaux-style Red Blend
100077,Schmitt Söhne 2015 Riesling (Rheinhessen),"Earthy pollen and mineral notes lend a savory tone to this medium-sweet Riesling. It's soft and slightly pulpy, intensified by overripe tangerine and stone fruit flavors. Drink now through 2018.",Schmitt Söhne,Germany,86,9,Riesling
100078,Yalumba 2016 Made With Organic Grapes Chardonnay (South Australia),"This medium-bodied Chardonnay features aromas of pineapple and roasted cashew. Similar notes of ripe pineapple and nuts mark the palate, then ease to a rather soft, easy finish. Drink now.",Yalumba,Australia,86,18,Chardonnay
100079,Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),"Some rosés are made simply by bleeding the juice from the fermenter, to concentrate the remaining wine. Whether or not that is the case here, the wine has the simple pleasant lightly candied strawberry flavors one might expect from such a technique. It's fruity and undemanding. Drink up.",Z'IVO,US,86,25,Pinot Noir
100080,Adega Cooperativa do Cartaxo 2014 Bridão Touriga Nacional (Tejo),"Grown on the sandy soil of Tejo, the wine is typically soft and open. It is very accessible—with black fruits and light tannins for this grape. It is ready to drink.",Adega Cooperativa do Cartaxo,Portugal,86,,Touriga Nacional
100081,Aresti 2014 Special Release Reserva Carmenère (Rapel Valley),"Caramelized oak and vanilla aromas are front and center on a barrel-heavy nose. This feels a bit choppy, with astringent tannins. Herbal salty plum flavors wear a lot of oaky makeup, while this finishes with a forced woody flavor.",Aresti,Chile,86,12,Carmenère
100082,Spyro 2014 Albariño (Rías Baixas),"Bland, mature aromas of white fruits are on the weak side for Albariño. This feels round and oily, while briny leesy flavors lack pop and precision. A grabby aged finish is short on the free flow that this grape and region are known for. Drink immediately or wait for a newer vintage.",Spyro,Spain,86,16,Albariño
100083,Lionel Osmin & Cie 2016 La Réserve Petit Manseng (Vin de France),"This fruity, sweet wine is immediately attractive and ripe. With its great apricot and pineapple fruit, hints of spicy wood and balancing acidity, it's perfect as an apéritif—light and refreshing. Drink now.",Lionel Osmin & Cie,France,86,11,Petit Manseng
100084,Mitolo 2016 Jester Sangiovese Rosé (McLaren Vale),"Pale copper in hue, this wine exudes passion fruit on the nose, while the palate delivers nuances of muskmelon as well. It's crisp, racy and medium in body, perfectly suited to summertime refreshment. Drink now.",Mitolo,Australia,86,20,Rosé
100085,Napa Cellars 2014 Classic Zinfandel (Napa Valley),"A healthy addition of 13% Petite Sirah provides added weight and intensity to this wine, a soft, supple and richly conceived combination of smoky black fruit and mocha.",Napa Cellars,US,86,24,Zinfandel
100086,P.J. Valckenberg 2015 Undone Dry Riesling (Rheinhessen),"Pronounced dust, pollen and earth tones lend savoriness to this otherwise citrusy wine. Racy acidity and fresh tangerine and lemon flavors turn herbal on the finish. Drink now.",P.J. Valckenberg,Germany,86,10,Riesling
100087,Palencia 2016 Albariño (Ancient Lakes),"Vibrant aromas of ripe pear, white flowers and melon are followed by a just off-dry palate, with lean fruit flavors.",Palencia,US,86,20,Albariño
100088,Passaggio 2014 Blau Vineyards Merlot (Knights Valley),"Softened tannins surround a light-bodied, lean and herbal approach to this vineyard-designate, dotted in black pepper, leather and baked cherry.",Passaggio,US,86,55,Merlot
100089,Poggio Alloro 2014 Le Mandorle Riserva (Vernaccia di San Gimignano),"Subdued aromas of French oak, toast and acacia waft out of the glass. The rather lean palate offers oak-driven spice, chopped herb and a hint of citrus set against racy acidity. It's rather shy on fruit richness.",Poggio Alloro,Italy,86,29,Vernaccia
100090,Fattoria Sardi 2015 Rosato (Toscana),"Made primarily from Sangiovese, with some Malvasia and other white grapes, this offers aromas of red berry and a yeasty whiff of bread dough. The bright, enjoyable palate offers ripe cherry and hint of pastry cream while a note of honeydew melon marks the close.",Fattoria Sardi,Italy,88,19,Rosato
100091,Ferrari-Carano 2014 Siena Red (Sonoma County),"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",Ferrari-Carano,US,88,23,Red Blend
100092,Folie à Deux 2015 Pinot Gris (Sonoma Coast),"This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.",Folie à Deux,US,88,18,Pinot Gris
100093,Franciscan 2013 Magnificat Meritage (Napa Valley),"All red Bordeaux varieties are represented in this blend, except for Petit Verdot. Together, they offer a simple tannic structure that strengthens a chewiness of leather, tobacco and a touch of cedar. Full bodied, it's a ripe, bold and brawny wine.",Franciscan,US,88,55,Meritage
100094,Fuchs 2015 Grüner Veltliner (Burgenland),"Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.",Fuchs,Austria,88,12,Grüner Veltliner
100095,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",Gård,US,88,22,Viognier
100096,Henry Fessy 2015 Juliénas,"This is a dense wine, packed with both tannins and acidity. It brings out the ageworthiness of this appellation with its rich potential and dark mineral texture. Drink this concentrated cru wine from 2018.",Henry Fessy,France,88,20,Gamay
100097,Henry Fessy 2015 Régnié,"The wine comes from one of the cru estates followed by this negociant house. It is a light, ripe and fruity wine. With its attractive red-berry flavors, finished with crisp acidity, it is accessible and ready to drink.",Henry Fessy,France,88,18,Gamay
100098,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.,Heron Hill,US,88,20,Riesling
100099,Serpaia di Endrizzi 2010 Dono Riserva (Morellino di Scansano),"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.",Serpaia di Endrizzi,Italy,88,30,Sangiovese
100100,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),"This blends 20% each of all five red-Bordeaux varieties, showing grapy, plummy flavor that's juicy and soft on the palate. With a core of tobacco, tar and graphite, it complements the fruity with the savory, ending simply and elegantly.",Soquel Vineyards,US,88,75,Bordeaux-style Red Blend
100101,Ventosa 2015 Pinot Gris (Finger Lakes),"Fresh apple, lemon and pear flavors are accented by a hint of smoked nuts in this bold, full-bodied Pinot Gris. Rich and a bit creamy in mouthfeel yet balanced briskly, it's a satisfying white with wide pairing appeal. Drink now through 2019.",Ventosa,US,88,18,Pinot Gris
100102,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),"Dusty mineral, smoke and struck flint lend a savory tone to this lean light-bodied Riesling. Off dry in style, the palate offers delicately concentrated flavors of red apple and nectarine off set by tangerine acidity. Drink now through 2021.",Lamoreaux Landing,US,87,20,Riesling
100103,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Intensely smoky tones of struck flint and ash extend throughout this otherwise bright nimble Riesling. The palate boasts freshly pressed apple and pear flavors accentuated by zippy lemon-lime acidity. Drink now through 2021.,Lamoreaux Landing,US,87,20,Riesling
100104,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),"A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition, with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty, while this holds form on a high-acid finish.",Leyda,Chile,87,18,Chardonnay
100105,Madonna Alta 2014 Nativo Red (Toscana),"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",Madonna Alta,Italy,87,16,Red Blend
100106,Marchesi Antinori 2015 Villa Antinori White (Toscana),"Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.",Marchesi Antinori,Italy,87,14,White Blend
